group,fires
1992-01,28
1992-02,67
1992-03,95
1992-04,79
1992-05,56
1992-06,15
1992-07,12
1992-08,7
1992-09,8
1992-10,36
1992-11,5
1992-12,11
1993-01,15
1993-02,27
1993-03,65
1993-04,74
1993-05,30
1993-06,34
1993-07,19
1993-08,24
1993-09,31
1993-10,27
1993-11,21
1993-12,14
1994-01,29
1994-02,77
1994-03,154
1994-04,94
1994-05,39
1994-06,18
1994-07,10
1994-08,13
1994-09,16
1994-10,11
1994-11,24
1994-12,13
1995-01,16
1995-02,65
1995-03,123
1995-04,84
1995-05,34
1995-06,19
1995-07,26
1995-08,29
1995-09,46
1995-10,39
1995-11,28
1995-12,27
1996-01,32
1996-02,160
1996-03,109
1996-04,109
1996-05,53
1996-06,22
1996-07,24
1996-08,16
1996-09,17
1996-10,25
1996-11,14
1996-12,19
1997-01,24
1997-02,29
1997-03,80
1997-04,94
1997-05,40
1997-06,15
1997-07,6
1997-08,16
1997-09,41
1997-10,25
1997-11,16
1997-12,11
1998-01,15
1998-02,27
1998-03,79
1998-04,68
1998-05,18
1998-06,42
1998-07,24
1998-08,27
1998-09,43
1998-10,41
1998-11,36
1998-12,28
1999-01,40
1999-02,77
1999-03,143
1999-04,115
1999-05,40
1999-06,20
1999-07,22
1999-08,55
1999-09,86
1999-10,56
1999-11,60
1999-12,52
2000-01,42
2000-02,120
2000-03,133
2000-04,72
2000-05,49
2000-06,33
2000-07,49
2000-08,51
2000-09,31
2000-10,57
2000-11,18
2000-12,28
2001-01,94
2001-02,107
2001-03,88
2001-04,115
2001-05,70
2001-06,16
2001-07,15
2001-08,13
2001-09,12
2001-10,42
2001-11,68
2001-12,30
2002-01,43
2002-02,143
2002-03,141
2002-04,101
2002-05,46
2002-06,32
2002-07,21
2002-08,26
2002-09,27
2002-10,8
2002-11,24
2002-12,18
2003-01,37
2003-02,39
2003-03,47
2003-04,102
2003-05,24
2003-06,8
2003-07,7
2003-08,20
2003-09,16
2003-10,27
2003-11,34
2003-12,28
2004-01,56
2004-02,46
2004-03,177
2004-04,123
2004-05,21
2004-06,12
2004-07,11
2004-08,10
2004-09,26
2004-10,14
2004-11,4
2004-12,21
2005-01,46
2005-02,55
2005-03,105
2005-04,108
2005-05,33
2005-06,18
2005-07,20
2005-08,21
2005-09,53
2005-10,65
2005-11,69
2005-12,80
2006-01,108
2006-02,96
2006-03,269
2006-04,158
2006-05,55
2006-06,60
2006-07,51
2006-08,35
2006-09,32
2006-10,30
2006-11,20
2006-12,40
2007-01,24
2007-02,112
2007-03,189
2007-04,67
2007-05,42
2007-06,24
2007-07,14
2007-08,41
2007-09,39
2007-10,43
2007-11,37
2007-12,36
2008-01,85
2008-02,67
2008-03,112
2008-04,84
2008-05,44
2008-06,42
2008-07,42
2008-08,31
2008-09,31
2008-10,50
2008-11,40
2008-12,33
2009-01,90
2009-02,139
2009-03,150
2009-04,114
2009-05,35
2009-06,30
2009-07,19
2009-08,17
2009-09,16
2009-10,15
2009-11,25
2009-12,7
2010-01,35
2010-02,27
2010-03,118
2010-04,119
2010-05,28
2010-06,19
2010-07,17
2010-08,36
2010-09,73
2010-10,100
2010-11,56
2010-12,56
2011-01,77
2011-02,145
2011-03,130
2011-04,59
2011-05,43
2011-06,41
2011-07,21
2011-08,43
2011-09,34
2011-10,32
2011-11,33
2011-12,17
2012-01,72
2012-02,52
2012-03,109
2012-04,52
2012-05,31
2012-06,46
2012-07,26
2012-08,18
2012-09,18
2012-10,29
2012-11,56
2012-12,24
2013-01,49
2013-02,47
2013-03,126
2013-04,75
2013-05,46
2013-06,23
2013-07,25
2013-08,22
2013-09,22
2013-10,17
2013-11,35
2013-12,24
2014-01,92
2014-02,75
2014-03,149
2014-04,134
2014-05,46
2014-06,19
2014-07,26
2014-08,28
2014-09,23
2014-10,31
2014-11,42
2014-12,20
2015-01,74
2015-02,98
2015-03,133
2015-04,99
2015-05,42
2015-06,18
2015-07,17
2015-08,35
2015-09,37
2015-10,46
2015-11,31
2015-12,9